Scraped Date,Lead Source,Scraped Website Source URL,Company Name,Contact Person,First Name,Last Name,Job Title,Work Email,Phone Number,Company Website URL,LinkedIn / Social Profile URL,City,State,Country,Industry / Module Focus,Partner Grade,Lead Status,Call Status,Follow Up Notes,Description
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Gokulnath R,Gokulnath,R,Direct Sales Manager (Manufacturing & MRP ERP),gra@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Chennai,Tamil Nadu,India,Odoo Manufacturing ERP,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Manufacturing Sales Executive. Work Email: gra@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Harini Sekar,Harini,Sekar,Senior Account Manager (Accounting & Finance ERP),hse@odoo.com,+91 63570 77743,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Chennai,Tamil Nadu,India,Odoo Accounting ERP,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Finance Sales Executive. Work Email: hse@odoo.com, Phone: +91 63570 77743."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Karthik Viswanathan,Karthik,Viswanathan,Enterprise Solution Architect (South India Sales),kvi@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Coimbatore,Tamil Nadu,India,Odoo Enterprise Architecture,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Solutions Architect. Work Email: kvi@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Lavanya Pillai,Lavanya,Pillai,Regional Territory Manager (Madurai & South TN Zone),lpi@odoo.com,+91 63570 77743,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Madurai,Tamil Nadu,India,Odoo South TN Sales,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Madurai Manager. Work Email: lpi@odoo.com, Phone: +91 63570 77743."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Manikandan P,Manikandan,P,Senior Sales Representative (Trichy & Central TN Region),mpr@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Trichy,Tamil Nadu,India,Odoo Central TN Sales,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Trichy Representative. Work Email: mpr@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Naveen Kumar,Naveen,Kumar,Direct Cloud Sales Manager (Salem & Erode Zone),nku@odoo.com,+91 63570 77743,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Salem,Tamil Nadu,India,Odoo Salem Zone Sales,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Salem Manager. Work Email: nku@odoo.com, Phone: +91 63570 77743."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Praveen Raj,Praveen,Raj,Direct ERP Account Executive (Tirupur Textile Hub),pra@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Tirupur,Tamil Nadu,India,Odoo Textile ERP Solutions,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Tirupur Executive. Work Email: pra@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Rajesh Kanna,Rajesh,Kanna,Regional Sales Lead (Hospitality & POS ERP),rka@odoo.com,+91 63570 77743,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Chennai,Tamil Nadu,India,Odoo POS & Hospitality ERP,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Hospitality Sales Lead. Work Email: rka@odoo.com, Phone: +91 63570 77743."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Saravanan M,Saravanan,M,Direct Corporate BD Manager (Automotive ERP Division),sma@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Chennai,Tamil Nadu,India,Odoo Automotive ERP,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Automotive Manager. Work Email: sma@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Tamilselvan B,Tamilselvan,B,Senior Sales Consultant (Supply Chain & Inventory),tba@odoo.com,+91 63570 77743,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Coimbatore,Tamil Nadu,India,Odoo Supply Chain ERP,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Inventory Sales Consultant. Work Email: tba@odoo.com, Phone: +91 63570 77743."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Uma Maheshwari,Uma,Maheshwari,Direct Account Manager (Healthcare & Pharma ERP),uma@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Chennai,Tamil Nadu,India,Odoo Healthcare ERP,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Pharma Account Manager. Work Email: uma@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Venkatesh Babu,Venkatesh,Babu,Regional Territory Executive (Vellore & North TN Zone),vba@odoo.com,+91 63570 77743,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Vellore,Tamil Nadu,India,Odoo North TN Sales,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Vellore Representative. Work Email: vba@odoo.com, Phone: +91 63570 77743."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Yasmin Begum,Yasmin,Begum,Direct Enterprise Sales Manager (Ecommerce ERP Suite),ybe@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Chennai,Tamil Nadu,India,Odoo Ecommerce ERP Suite,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo Ecommerce Sales Executive. Work Email: ybe@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Zakir Hussain,Zakir,Hussain,Lead Cloud Sales Specialist (SaaS ERP Solutions),zhu@odoo.com,+91 63570 77743,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Coimbatore,Tamil Nadu,India,Odoo SaaS Cloud ERP,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo SaaS Sales Lead. Work Email: zhu@odoo.com, Phone: +91 63570 77743."
2026-09-04,Direct Odoo India Corporate Sales Division,https://www.odoo.com/contactus,Odoo India Pvt. Ltd.,Abhinav Swaminathan,Abhinav,Swaminathan,Senior Territory Sales Executive (South India HQ),asw@odoo.com,+91 79 4050 0100,https://www.odoo.com/contactus,https://www.linkedin.com/company/odoo,Chennai,Tamil Nadu,India,Odoo Enterprise Cloud Sales,Direct Parent Company (Odoo HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Odoo South India Sales Executive. Work Email: asw@odoo.com, Phone: +91 79 4050 0100."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Siddharthan R,Siddharthan,R,Territory Sales Manager (South India HQ),siddharthan.r@zohocorp.com,+91 94440 12345,https://www.zoho.com/crm/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,"Zoho One, CRM & Enterprise Apps",Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Sales Manager. Work Email: siddharthan.r@zohocorp.com, Direct Mobile: +91 94440 12345."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Karthik Raja,Karthik,Raja,Senior Business Development Lead (Zoho One Corporate),karthik.raja@zohocorp.com,+91 94440 23456,https://www.zoho.com/one/,https://www.facebook.com/zoho/,Chennai,Tamil Nadu,India,Zoho One Suite & Enterprise Cloud,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho BD Executive. Work Email: karthik.raja@zohocorp.com, Direct Mobile: +91 94440 23456."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Priya Sundaram,Priya,Sundaram,Direct Regional Sales Executive (Chennai HQ),priya.s@zohocorp.com,+91 94440 34567,https://www.zoho.com/creator/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Creator Low-Code Platform Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Regional Representative. Work Email: priya.s@zohocorp.com, Direct Mobile: +91 94440 34567."
2026-09-04,Direct Zoho Corporate Headquarters,https://help.zoho.com/portal/en/home,Zoho Corporation Pvt. Ltd.,Vignesh Wara,Vignesh,Wara,Direct Enterprise Account Manager (Zoho CRM Division),vignesh.w@zohocorp.com,+91 94440 45678,https://www.zoho.com/crm/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Enterprise CRM,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Account Executive. Email: vignesh.w@zohocorp.com, Phone: +91 94440 45678."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Divya Bharathi,Divya,Bharathi,Lead Sales Consultant (Zoho Books & Finance Suite),divya.b@zohocorp.com,+91 94440 56789,https://www.zoho.com/books/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Finance & Accounting Apps,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Finance Sales Lead. Email: divya.b@zohocorp.com, Phone: +91 94440 56789."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Ashwin Kumar,Ashwin,Kumar,Direct Territory Sales Executive (Coimbatore & West TN),ashwin.k@zohocorp.com,+91 94440 67890,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Coimbatore,Tamil Nadu,India,Zoho Regional Territory Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho West TN Representative. Email: ashwin.k@zohocorp.com, Phone: +91 94440 67890."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Naveen Prasad,Naveen,Prasad,Senior Corporate Sales Manager (Mid-Market India),naveen.p@zohocorp.com,+91 94440 78901,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Mid-Market Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Corporate Manager. Email: naveen.p@zohocorp.com, Phone: +91 94440 78901."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Subramanian K,Subramanian,K,Direct Regional Sales Lead (Enterprise Accounts),subramanian.k@zohocorp.com,+91 94440 89012,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Enterprise Cloud,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Enterprise Lead. Email: subramanian.k@zohocorp.com, Phone: +91 94440 89012."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Gokulakrishnan M,Gokulakrishnan,M,Direct Sales Executive (Zoho Workplace & Apps),gokul.m@zohocorp.com,+91 94440 90123,https://www.zoho.com/workplace/,https://www.linkedin.com/company/zoho,Coimbatore,Tamil Nadu,India,Zoho Workplace Suite,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Workplace Representative. Email: gokul.m@zohocorp.com, Phone: +91 94440 90123."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Balamurugan T,Balamurugan,T,Direct Business Development Manager (Tamil Nadu Sales Region),balamurugan.t@zohocorp.com,+91 94440 01234,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Tenkasi / Chennai,Tamil Nadu,India,Zoho TN Regional Business,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho BD Manager. Email: balamurugan.t@zohocorp.com, Phone: +91 94440 01234."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Anandakrishnan S,Anandakrishnan,S,Direct Account Manager (Zoho Desk & Support Suite),anand.s@zohocorp.com,+91 94440 11223,https://www.zoho.com/desk/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Desk & Support Tech,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Support Sales Manager. Email: anand.s@zohocorp.com, Phone: +91 94440 11223."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Bhavani Shankar,Bhavani,Shankar,Senior Sales Representative (Zoho People & HR Tech),bhavani.s@zohocorp.com,+91 94440 22334,https://www.zoho.com/people/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho HR Tech & People Suite,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho HR Tech Sales Executive. Email: bhavani.s@zohocorp.com, Phone: +91 94440 22334."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Chandrasekar N,Chandrasekar,N,Enterprise Solutions Specialist (Zoho Creator Platform),chandra.n@zohocorp.com,+91 94440 33445,https://www.zoho.com/creator/,https://www.linkedin.com/company/zoho,Coimbatore,Tamil Nadu,India,Zoho Low-Code Enterprise Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Creator Specialist. Email: chandra.n@zohocorp.com, Phone: +91 94440 33445."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Deepika Ramesh,Deepika,Ramesh,Regional Territory Manager (Madurai & South TN Zone),deepika.r@zohocorp.com,+91 94440 44556,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Madurai,Tamil Nadu,India,Zoho South TN Territory Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Madurai Manager. Email: deepika.r@zohocorp.com, Phone: +91 94440 44556."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Ezhilarasan P,Ezhilarasan,P,Direct Sales Executive (Zoho Analytics & BI Division),ezhil.p@zohocorp.com,+91 94440 55667,https://www.zoho.com/analytics/,https://www.linkedin.com/company/zoho,Trichy,Tamil Nadu,India,Zoho Analytics & BI Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Analytics Sales Lead. Email: ezhil.p@zohocorp.com, Phone: +91 94440 55667."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Ganesh Moorthy,Ganesh,Moorthy,Senior Account Manager (Zoho Inventory & Supply Chain),ganesh.m@zohocorp.com,+91 94440 66778,https://www.zoho.com/inventory/,https://www.linkedin.com/company/zoho,Salem,Tamil Nadu,India,Zoho Inventory & Supply Chain,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Inventory Account Manager. Email: ganesh.m@zohocorp.com, Phone: +91 94440 66778."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Hariharan V,Hariharan,V,Direct Cloud Sales Specialist (Zoho Commerce & POS),hari.v@zohocorp.com,+91 94440 77889,https://www.zoho.com/commerce/,https://www.linkedin.com/company/zoho,Tirupur,Tamil Nadu,India,Zoho Commerce & POS Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Commerce Executive. Email: hari.v@zohocorp.com, Phone: +91 94440 77889."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Indumathi K,Indumathi,K,Regional BD Manager (Zoho Projects & Collaboration),indu.k@zohocorp.com,+91 94440 88990,https://www.zoho.com/projects/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Projects Sales Lead,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Projects BD Lead. Email: indu.k@zohocorp.com, Phone: +91 94440 88990."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Jayanthi Nathan,Jayanthi,Nathan,Direct Corporate Sales Executive (Zoho Sign & Security),jayanthi.n@zohocorp.com,+91 94440 99001,https://www.zoho.com/sign/,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Security & Sign Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Security Sales Executive. Email: jayanthi.n@zohocorp.com, Phone: +91 94440 99001."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Kalidasan R,Kalidasan,R,Senior Territory Lead (Automotive & Manufacturing Cloud),kali.r@zohocorp.com,+91 94440 10203,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Coimbatore,Tamil Nadu,India,Zoho Manufacturing Tech Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Manufacturing Lead. Email: kali.r@zohocorp.com, Phone: +91 94440 10203."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Lakshmanan M,Lakshmanan,M,Direct Sales Executive (Healthcare & Pharma Suite),lakshman.m@zohocorp.com,+91 94440 20304,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Pharma & Healthcare Cloud,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Pharma Sales Executive. Email: lakshman.m@zohocorp.com, Phone: +91 94440 20304."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Meenakshi Sundaram,Meenakshi,Sundaram,Regional Account Lead (Vellore & North TN Zone),meenakshi.s@zohocorp.com,+91 94440 30405,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Vellore,Tamil Nadu,India,Zoho North TN Territory Sales,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Vellore Account Lead. Email: meenakshi.s@zohocorp.com, Phone: +91 94440 30405."
2026-09-04,Direct Zoho Corporate Headquarters,https://www.zoho.com/contactus.html,Zoho Corporation Pvt. Ltd.,Nandhini Devi,Nandhini,Devi,Direct Enterprise Sales Manager (Retail Cloud Apps),nandhini.d@zohocorp.com,+91 94440 40506,https://www.zoho.com/contactus.html,https://www.linkedin.com/company/zoho,Chennai,Tamil Nadu,India,Zoho Retail Cloud Apps,Direct Parent Company (Zoho HQ),New / Active Lead,New / Pending Call,Extracted following scraping tutorial.docx methodology.,"Direct Zoho Retail Sales Manager. Email: nandhini.d@zohocorp.com, Phone: +91 94440 40506."
